OLD,NEW
button1,button4
button2,button5
button3,button6
button4,button7
button5,button37
button6,button38
button7,button39
button8,button40
button9,button41
button10,button42
button11,button18
button12,button17
button13,button20
button14,button19
button15,button22
button16,button21
button17,button23
button18,button24
button19,button25
button20,button26
button21,button27
button22,button28
button23,button30
button24,button29
button25,button32
button26,button31
button27,button33
button28,button34
button29,button35
button30,button36
button31,button8
button32,button10
button33,button9
button34,button11
button35,button13
button36,button12
button37,button14
button38,button16
button39,button15
button41,button1
button42,button3
button43,button3
